
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:36510        127.0.0.1:2594         TIME_WAIT       0
  TCP    127.0.0.1:36510        127.0.0.1:2595         ESTABLISHED     5456
  TCP    127.0.0.1:37510        0.0.0.0:0              LISTENING       5456
  TCP    127.0.0.1:38404        0.0.0.0:0              LISTENING       5456
  TCP    127.0.0.1:49635        0.0.0.0:0              LISTENING       1500
  TCP    127.0.0.1:52739        0.0.0.0:0              LISTENING       12612
  TCP    127.0.0.1:54630        0.0.0.0:0              LISTENING       14236
  TCP    127.0.0.1:54630        127.0.0.1:8591         ESTABLISHED     14236
  TCP    127.0.0.1:54631        0.0.0.0:0              LISTENING       14236
  TCP    127.0.0.1:55630        0.0.0.0:0              LISTENING       14236
  TCP    127.0.0.1:55630        127.0.0.1:1094         ESTABLISHED     14236
  TCP    127.0.0.1:55630        127.0.0.1:12587        ESTABLISHED     14236
  TCP    127.0.0.1:56630        0.0.0.0:0              LISTENING       14236
  TCP    127.0.0.1:56630        127.0.0.1:12980        ESTABLISHED     14236
  TCP    127.0.0.1:56630        127.0.0.1:12996        ESTABLISHED     14236
  TCP    127.0.0.1:56630        127.0.0.1:13007        ESTABLISHED     14236
  TCP    127.0.0.1:57219        0.0.0.0:0              LISTENING       12612
  TCP    127.0.0.1:57630        0.0.0.0:0              LISTENING       15148
  TCP    127.0.0.1:58630        0.0.0.0:0              LISTENING       10472
  TCP    169.254.162.28:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.71.42:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.71.42:1096     4.145.79.82:443        ESTABLISHED     11408
  TCP    192.168.71.42:1635     48.210.190.78:443      ESTABLISHED     15716
  TCP    192.168.71.42:1819     40.99.10.18:443        ESTABLISHED     15716
  TCP    192.168.71.42:1826     40.99.8.194:443        ESTABLISHED     15716
  TCP    192.168.71.42:2502     4.145.11.36:443        TIME_WAIT       0
  TCP    192.168.71.42:2524     13.107.5.93:443        ESTABLISHED     10016
  TCP    192.168.71.42:2525     106.38.242.67:443      TIME_WAIT       0
  TCP    192.168.71.42:2526     150.171.110.131:443    ESTABLISHED     10016
  TCP    192.168.71.42:2528     13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.71.42:2529     13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.71.42:2532     52.182.143.213:443     ESTABLISHED     10016
  TCP    192.168.71.42:2534     13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.71.42:2535     34.160.81.0:443        ESTABLISHED     10016
  TCP    192.168.71.42:2536     13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.71.42:2540     150.171.73.16:443      ESTABLISHED     10016
  TCP    192.168.71.42:2597     8.133.204.85:443       TIME_WAIT       0
  TCP    192.168.71.42:2616     172.64.53.182:443      TIME_WAIT       0
  TCP    192.168.71.42:2617     172.64.53.182:443      TIME_WAIT       0
  TCP    192.168.71.42:2621     121.228.183.34:443     ESTABLISHED     22188
  TCP    192.168.71.42:2633     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2639     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2641     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2646     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2650     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2653     104.18.42.155:443      TIME_WAIT       0
  TCP    192.168.71.42:2655     172.64.53.182:443      TIME_WAIT       0
  TCP    192.168.71.42:2657     106.38.242.67:443      TIME_WAIT       0
  TCP    192.168.71.42:2659     172.64.53.182:443      TIME_WAIT       0
  TCP    192.168.71.42:2666     106.38.242.67:443      TIME_WAIT       0
  TCP    192.168.71.42:2669     172.64.53.87:443       TIME_WAIT       0
  TCP    192.168.71.42:2673     172.64.53.87:443       TIME_WAIT       0
  TCP    192.168.71.42:2692     172.64.53.87:443       TIME_WAIT       0
  TCP    192.168.71.42:2696     120.133.65.239:443     ESTABLISHED     10452
  TCP    192.168.71.42:2709     172.64.53.87:443       TIME_WAIT       0
  TCP    192.168.71.42:2717     172.64.53.87:443       TIME_WAIT       0
  TCP    192.168.71.42:7027     121.228.183.34:443     ESTABLISHED     22188
  TCP    192.168.71.42:8602     172.64.151.195:443     ESTABLISHED     26396
  TCP    192.168.71.42:9923     104.18.42.202:443      ESTABLISHED     25928
  TCP    192.168.71.42:9924     172.64.151.195:443     ESTABLISHED     25928
  TCP    192.168.71.42:12965    106.120.178.9:5170     ESTABLISHED     10572
  TCP    192.168.71.42:12966    103.212.12.45:3000     ESTABLISHED     20532
  TCP    192.168.71.42:14979    61.170.66.121:443      ESTABLISHED     27020
  TCP    192.168.71.42:14981    61.170.66.121:443      ESTABLISHED     27020
  TCP    192.168.71.42:14989    106.38.242.67:443      CLOSE_WAIT      10620
  TCP    192.168.71.42:14993    52.98.33.130:443       ESTABLISHED     27020
